Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
279,2024-12-04 04:05:14,269.56,17.49,5.09
280,2024-12-04 04:05:15,270.52,17.49,5.09
281,2024-12-04 04:05:16,271.48,17.49,5.09
282,2024-12-04 04:05:17,272.44,17.49,5.09
283,2024-12-04 04:05:18,273.40,17.49,5.09
284,2024-12-04 04:05:19,274.36,17.49,5.09
285,2024-12-04 04:05:20,275.31,17.49,5.09
286,2024-12-04 04:05:21,276.27,17.49,5.09
287,2024-12-04 04:05:22,277.24,17.49,5.09
288,2024-12-04 04:05:23,278.20,17.49,5.09
289,2024-12-04 04:05:24,279.17,17.49,5.09
290,2024-12-04 04:05:25,280.13,17.49,5.09
291,2024-12-04 04:05:26,281.08,17.49,5.09
292,2024-12-04 04:05:27,282.05,17.49,5.09
293,2024-12-04 04:05:28,283.01,17.49,5.09
294,2024-12-04 04:05:29,283.96,17.49,5.09
295,2024-12-04 04:05:30,284.91,17.49,5.09
296,2024-12-04 04:05:31,285.88,17.49,5.09
297,2024-12-04 04:05:32,286.84,17.49,5.09
298,2024-12-04 04:05:33,287.79,17.49,5.09
299,2024-12-04 04:05:34,288.75,17.49,5.09
300,2024-12-04 04:05:35,289.72,17.49,5.09
301,2024-12-04 04:05:35,290.68,17.49,5.09
302,2024-12-04 04:05:36,291.65,17.49,5.09
303,2024-12-04 04:05:37,292.60,17.49,5.09
304,2024-12-04 04:05:38,293.56,17.49,5.09
305,2024-12-04 04:05:39,294.52,17.49,5.09
306,2024-12-04 04:05:40,295.47,17.49,5.09
307,2024-12-04 04:05:41,296.44,17.49,5.09
308,2024-12-04 04:05:42,297.40,17.49,5.09
309,2024-12-04 04:05:43,298.36,17.49,5.09
310,2024-12-04 04:05:44,299.32,17.49,5.09
311,2024-12-04 04:05:45,300.29,17.49,5.09
312,2024-12-04 04:05:46,301.25,17.49,5.09
313,2024-12-04 04:05:47,302.21,17.49,5.09
314,2024-12-04 04:05:48,303.18,17.49,5.09
315,2024-12-04 04:05:49,304.14,17.49,5.09
316,2024-12-04 04:05:50,305.09,17.49,5.09
317,2024-12-04 04:05:51,306.05,17.49,5.09
318,2024-12-04 04:05:52,307.01,17.49,5.09
319,2024-12-04 04:05:53,307.97,17.49,5.09
320,2024-12-04 04:05:54,308.93,17.49,5.09
321,2024-12-04 04:05:55,309.89,17.49,5.09
322,2024-12-04 04:05:56,310.85,17.49,5.09
323,2024-12-04 04:05:57,311.81,17.49,5.09
324,2024-12-04 04:05:58,312.77,17.49,5.09
325,2024-12-04 04:05:59,313.74,17.49,5.09
326,2024-12-04 04:06:00,314.69,17.49,5.09
327,2024-12-04 04:06:00,315.65,17.49,5.09
328,2024-12-04 04:06:01,316.61,17.49,5.09
329,2024-12-04 04:06:02,317.57,17.49,5.09
330,2024-12-04 04:06:03,318.52,17.49,5.09
331,2024-12-04 04:06:04,319.48,17.49,5.09
332,2024-12-04 04:06:05,320.44,17.49,5.09
333,2024-12-04 04:06:06,321.39,17.49,5.09
334,2024-12-04 04:06:07,322.35,17.49,5.09
335,2024-12-04 04:06:08,323.31,17.49,5.09
336,2024-12-04 04:06:09,324.26,17.49,5.09
337,2024-12-04 04:06:10,325.22,17.49,5.09
338,2024-12-04 04:06:11,326.17,17.49,5.09
339,2024-12-04 04:06:12,327.13,17.49,5.09
340,2024-12-04 04:06:13,328.08,17.49,5.09
341,2024-12-04 04:06:14,329.04,17.49,5.09
342,2024-12-04 04:06:15,330.00,17.49,5.09
343,2024-12-04 04:06:16,330.96,17.49,5.09
344,2024-12-04 04:06:17,331.92,17.49,5.09
345,2024-12-04 04:06:18,332.87,17.49,5.09
346,2024-12-04 04:06:19,333.83,17.49,5.09
347,2024-12-04 04:06:20,334.79,17.49,5.09
348,2024-12-04 04:06:21,335.75,17.49,5.09
349,2024-12-04 04:06:22,336.71,17.49,5.09
350,2024-12-04 04:06:22,337.67,17.49,5.09
351,2024-12-04 04:06:23,338.63,17.49,5.09
352,2024-12-04 04:06:24,339.59,17.49,5.09
353,2024-12-04 04:06:25,340.55,17.49,5.09
354,2024-12-04 04:06:26,341.51,17.49,5.09
355,2024-12-04 04:06:27,342.47,17.49,5.09
356,2024-12-04 04:06:28,343.44,17.49,5.09
357,2024-12-04 04:06:29,344.40,17.49,5.09
358,2024-12-04 04:06:30,345.36,17.49,5.09
359,2024-12-04 04:06:31,346.33,17.49,5.09
360,2024-12-04 04:06:32,347.29,17.49,5.09
361,2024-12-04 04:06:33,348.25,17.49,5.09
362,2024-12-04 04:06:34,349.21,17.49,5.09
363,2024-12-04 04:06:35,350.18,17.49,5.09
364,2024-12-04 04:06:36,351.14,17.49,5.09
365,2024-12-04 04:06:37,352.10,17.49,5.09
366,2024-12-04 04:06:38,353.05,17.49,5.09
367,2024-12-04 04:06:39,354.02,17.49,5.09
368,2024-12-04 04:06:40,354.98,17.49,5.09
369,2024-12-04 04:06:41,355.95,17.49,5.09
370,2024-12-04 04:06:42,356.91,17.49,5.09
371,2024-12-04 04:06:43,357.87,17.49,5.09
372,2024-12-04 04:06:44,358.82,17.49,5.09
373,2024-12-04 04:06:45,359.78,17.49,5.09
374,2024-12-04 04:06:46,360.74,17.49,5.09
375,2024-12-04 04:06:47,361.70,17.49,5.09
376,2024-12-04 04:06:47,362.66,17.49,5.09
377,2024-12-04 04:06:48,363.62,17.49,5.09
378,2024-12-04 04:06:49,364.59,17.49,5.09
379,2024-12-04 04:06:50,365.55,17.49,5.09
380,2024-12-04 04:06:51,366.51,17.49,5.09
381,2024-12-04 04:06:52,367.48,17.49,5.09
382,2024-12-04 04:06:53,368.44,17.49,5.09
383,2024-12-04 04:06:54,369.40,17.49,5.09
384,2024-12-04 04:06:55,370.36,17.49,5.09
385,2024-12-04 04:06:56,371.32,17.49,5.09
386,2024-12-04 04:06:57,372.28,17.49,5.09
